Unnamed: 0_x,Coles_StoreIDNo,Expec_Revenue,Gross_Sale,Sales_Cost,Targeted_Quarter,Coles_Forecast,Unnamed: 0_y,Coles_StoreID,Store_Location,Customer_Count,Staff_Count,Store_Area
167,C297,20,47,16,Q1 2023,On Target,167,C297,NSW,6720,24,1900
168,C601,28,35,12,Q1 2023,Below Target,168,C601,NSW,6092,17,1700
172,C274,28,48,6,Q2 2023,On Target,172,C274,NSW,6988,15,1900
176,C758,24,40,8,Q2 2023,On Target,176,C758,NSW,8940,22,1700
180,C680,24,47,13,Q2 2023,On Target,180,C680,NSW,7256,23,1900
186,C592,28,58,12,Q1 2023,On Target,186,C592,NSW,35672,27,2700
188,C737,23,51,6,Q2 2023,On Target,188,C737,NSW,9510,22,1900
189,C206,23,42,13,Q2 2023,On Target,189,C206,NSW,9864,24,1700
194,C685,27,47,15,Q2 2023,On Target,194,C685,NSW,8666,24,1900
195,C779,21,53,12,Q2 2023,On Target,195,C779,NSW,8108,22,1900
202,C129,25,51,13,Q1 2023,On Target,202,C129,NSW,8773,20,1900
215,C301,25,50,16,Q1 2023,On Target,215,C301,NSW,6253,22,1900
217,C735,20,48,5,Q1 2023,On Target,217,C735,NSW,9533,25,1900
221,C742,27,59,10,Q1 2023,On Target,221,C742,NSW,59969,25,2700
222,C436,23,28,13,Q1 2023,Below Target,222,C436,NSW,6729,16,1700
225,C285,28,39,10,Q1 2023,On Target,225,C285,NSW,7478,23,1700
231,C439,21,41,14,Q2 2023,On Target,231,C439,NSW,7725,24,1700
232,C394,25,54,7,Q2 2023,On Target,232,C394,NSW,50685,27,2500
234,C629,28,58,7,Q1 2023,On Target,234,C629,NSW,39895,25,2700
237,C275,28,57,12,Q2 2023,On Target,237,C275,NSW,26646,34,2500
252,C795,22,29,13,Q2 2023,Below Target,252,C795,NSW,7321,18,1700
253,C667,26,40,9,Q2 2023,On Target,253,C667,NSW,7857,23,1700
261,C253,29,53,9,Q2 2023,On Target,261,C253,NSW,7278,25,1900
267,C194,22,25,14,Q1 2023,Below Target,267,C194,NSW,9881,25,1700
268,C409,24,32,9,Q1 2023,Below Target,268,C409,NSW,8620,24,1700
269,C730,20,25,8,Q2 2023,Below Target,269,C730,NSW,7402,25,1700
271,C499,25,42,6,Q1 2023,On Target,271,C499,NSW,6241,26,1700
272,C423,21,39,9,Q1 2023,On Target,272,C423,NSW,7493,24,1700
273,C661,23,59,13,Q2 2023,On Target,273,C661,NSW,34201,35,2700
279,C146,25,30,16,Q2 2023,Below Target,279,C146,NSW,8898,24,1700
281,C389,21,54,15,Q1 2023,On Target,281,C389,NSW,44797,31,2500
288,C241,26,46,10,Q2 2023,On Target,288,C241,NSW,6853,18,1900
290,C448,24,39,7,Q1 2023,On Target,290,C448,NSW,6084,15,1700
295,C471,29,46,8,Q2 2023,On Target,295,C471,NSW,8436,18,1900
296,C525,22,60,11,Q2 2023,On Target,296,C525,NSW,8997,37,2700
303,C446,24,32,6,Q1 2023,On Target,303,C446,NSW,9703,18,1700
305,C655,27,49,12,Q2 2023,On Target,305,C655,NSW,7472,16,1900
319,C390,28,56,8,Q2 2023,On Target,319,C390,NSW,22619,39,2500
322,C387,25,54,2,Q1 2023,On Target,322,C387,NSW,37886,36,2500
325,C677,28,41,11,Q2 2023,On Target,325,C677,NSW,8225,21,1700
326,C183,21,31,9,Q2 2023,On Target,326,C183,NSW,7524,24,1700
327,C292,21,55,14,Q1 2023,On Target,327,C292,NSW,54073,25,2500
337,C305,20,28,12,Q2 2023,Below Target,337,C305,NSW,8966,21,1700
341,C291,23,30,9,Q2 2023,Below Target,341,C291,NSW,9410,17,1700
342,C714,20,36,6,Q2 2023,On Target,342,C714,NSW,9691,19,1700
352,C610,24,50,13,Q1 2023,On Target,352,C610,NSW,8824,22,1900
356,C132,27,34,10,Q2 2023,Below Target,356,C132,NSW,7867,16,1700
363,C622,28,50,15,Q2 2023,On Target,363,C622,NSW,9297,19,1900
371,C381,21,46,14,Q1 2023,On Target,371,C381,NSW,8370,23,1900
374,C537,24,42,14,Q1 2023,On Target,374,C537,NSW,8651,23,1700
376,C176,21,40,13,Q1 2023,On Target,376,C176,NSW,9395,21,1700
381,C428,21,35,13,Q1 2023,On Target,381,C428,NSW,6107,21,1700
382,C651,20,59,8,Q1 2023,On Target,382,C651,NSW,40204,34,2700
386,C402,26,29,17,Q1 2023,Below Target,386,C402,NSW,8362,18,1700
387,C734,28,32,16,Q1 2023,Below Target,387,C734,NSW,7119,26,1700
393,C211,27,32,8,Q1 2023,Below Target,393,C211,NSW,9555,16,1700
397,C468,24,59,13,Q1 2023,On Target,397,C468,NSW,25777,35,2700
401,C322,28,35,9,Q2 2023,Below Target,401,C322,NSW,7453,26,1700
404,C473,26,36,8,Q2 2023,On Target,404,C473,NSW,9112,16,1700
405,C407,24,55,4,Q1 2023,On Target,405,C407,NSW,40855,35,2500
409,C147,20,55,5,Q2 2023,On Target,409,C147,NSW,46321,32,2500
412,C716,25,34,10,Q2 2023,Below Target,412,C716,NSW,7375,23,1700
413,C678,28,54,7,Q1 2023,On Target,413,C678,NSW,55743,26,2500
414,C590,27,36,4,Q2 2023,On Target,414,C590,NSW,7210,20,1700
415,C790,22,31,13,Q1 2023,Below Target,415,C790,NSW,6900,22,1700
422,C616,22,33,8,Q2 2023,On Target,422,C616,NSW,6064,25,1700
426,C736,25,52,10,Q1 2023,On Target,426,C736,NSW,7744,15,1900
428,C688,26,39,10,Q1 2023,On Target,428,C688,NSW,8324,19,1700
437,C102,27,59,12,Q1 2023,On Target,437,C102,NSW,37192,38,2700
438,C106,23,32,8,Q1 2023,On Target,438,C106,NSW,7566,25,1700
439,C632,26,38,8,Q2 2023,On Target,439,C632,NSW,7130,20,1700
449,C780,26,54,8,Q2 2023,On Target,449,C780,NSW,15085,31,2500
453,C287,26,26,11,Q2 2023,Below Target,453,C287,NSW,8402,22,1700
465,C416,24,28,11,Q1 2023,Below Target,465,C416,NSW,8347,16,1700
466,C128,26,38,13,Q2 2023,Below Target,466,C128,NSW,8737,15,1700
470,C166,25,27,14,Q2 2023,Below Target,470,C166,NSW,9832,17,1700
483,C358,22,48,9,Q2 2023,On Target,483,C358,NSW,6973,19,1900
493,C261,27,57,6,Q1 2023,On Target,493,C261,NSW,33503,38,2500
497,C539,21,42,11,Q1 2023,On Target,497,C539,NSW,6454,20,1700
501,C363,24,36,6,Q2 2023,On Target,501,C363,NSW,6469,15,1700
504,C762,22,44,11,Q2 2023,On Target,504,C762,NSW,7213,19,1700
506,C396,24,31,10,Q1 2023,Below Target,506,C396,NSW,6851,20,1700
517,C420,26,56,12,Q2 2023,On Target,517,C420,NSW,20702,39,2500
525,C480,25,27,12,Q2 2023,Below Target,525,C480,NSW,8738,18,1700
528,C263,24,33,13,Q2 2023,Below Target,528,C263,NSW,6071,20,1700
530,C586,25,49,15,Q2 2023,On Target,530,C586,NSW,6203,26,1900
532,C154,21,57,4,Q1 2023,On Target,532,C154,NSW,15308,37,2700
537,C342,22,34,12,Q1 2023,On Target,537,C342,NSW,7234,18,1700
543,C543,26,32,14,Q1 2023,Below Target,543,C543,NSW,7576,15,1700
549,C114,22,34,11,Q1 2023,On Target,549,C114,NSW,9018,19,1700
560,C185,28,43,9,Q1 2023,On Target,560,C185,NSW,9161,21,1700
564,C607,25,56,11,Q1 2023,On Target,564,C607,NSW,11268,26,2500
566,C579,28,44,6,Q1 2023,On Target,566,C579,NSW,7544,16,1700
567,C434,20,55,5,Q1 2023,On Target,567,C434,NSW,42538,34,2500
579,C588,26,40,12,Q1 2023,On Target,579,C588,NSW,8180,15,1700
580,C701,27,53,9,Q1 2023,On Target,580,C701,NSW,9826,21,1900
581,C432,24,48,14,Q2 2023,On Target,581,C432,NSW,6768,26,1900
594,C542,20,30,10,Q1 2023,On Target,594,C542,NSW,7941,19,1700
596,C798,25,47,5,Q1 2023,On Target,596,C798,NSW,6631,17,1900
598,C781,24,29,5,Q2 2023,On Target,598,C781,NSW,6797,26,1700
609,C679,27,35,14,Q2 2023,Below Target,609,C679,NSW,8312,25,1700
612,C615,20,41,16,Q1 2023,On Target,612,C615,NSW,6683,22,1700
615,C474,27,36,14,Q1 2023,Below Target,615,C474,NSW,6473,20,1700
616,C604,28,31,10,Q2 2023,Below Target,616,C604,NSW,7581,26,1700
618,C478,24,49,11,Q1 2023,On Target,618,C478,NSW,8722,18,1900
625,C620,20,41,5,Q2 2023,On Target,625,C620,NSW,7081,15,1700
626,C491,22,55,6,Q1 2023,On Target,626,C491,NSW,28031,31,2500
628,C386,29,39,4,Q2 2023,On Target,628,C386,NSW,7388,16,1700
632,C139,26,32,5,Q2 2023,On Target,632,C139,NSW,6570,18,1700
634,C508,23,51,15,Q2 2023,On Target,634,C508,NSW,6831,17,1900
640,C264,27,51,9,Q2 2023,On Target,640,C264,NSW,9555,21,1900
641,C298,21,41,7,Q1 2023,On Target,641,C298,NSW,9184,22,1700
643,C350,26,40,8,Q2 2023,On Target,643,C350,NSW,9937,24,1700
645,C797,23,25,11,Q1 2023,Below Target,645,C797,NSW,8313,18,1700
650,C767,25,53,10,Q1 2023,On Target,650,C767,NSW,9338,15,1900
653,C492,25,52,10,Q2 2023,On Target,653,C492,NSW,9717,15,1900
654,C602,23,32,8,Q1 2023,On Target,654,C602,NSW,7133,20,1700
655,C377,26,28,9,Q1 2023,Below Target,655,C377,NSW,7944,18,1700
658,C612,21,40,11,Q1 2023,On Target,658,C612,NSW,9866,17,1700
661,C726,27,47,11,Q1 2023,On Target,661,C726,NSW,7690,18,1900
671,C687,24,54,11,Q1 2023,On Target,671,C687,NSW,22153,39,2500
675,C663,25,36,9,Q2 2023,On Target,675,C663,NSW,6728,23,1700
680,C240,27,30,11,Q1 2023,Below Target,680,C240,NSW,9440,19,1700
681,C689,25,44,10,Q2 2023,On Target,681,C689,NSW,8598,25,1700
